district,very_suitable,suitable,moderately_suitable,total_suitable_area
Mymensingh,54.96663309,230.2013453,74.31999336,359.4879718
Dinajpur,100.3915781,162.2251161,68.37498284,330.991677
Naogaon,8.108768609,105.2566668,156.5592808,269.9247163
Tangail,71.30176918,140.7970732,38.95197762,251.05082
Rangpur,66.33973407,149.1275927,0.815534283,216.282861
Jashore,4.389670688,107.4345136,88.18082331,200.0050076
Cumilla,7.288124093,160.4401966,31.27111136,198.9994321
Chittagong,60.99172697,77.31618259,53.44221564,191.7501252
Rajshahi,19.04964844,61.32728202,109.7507641,190.1276946
Bogra,4.801404183,144.3436332,40.9675379,190.1125752
Jamalpur,77.35637352,101.0804448,8.059501797,186.4963201
Gaibandha,15.62067019,149.6881668,16.82939273,182.1382298
Thakurgaon,86.90161715,78.87154477,4.435711359,170.2088733
Jhenaidah,53.47049129,88.67443989,21.26075804,163.4056892
Sirajganj,10.39657482,115.7081278,36.01881381,162.1235164
Kurigram,30.72694802,128.7663315,0,159.4932796
Netrakona,4.006567712,109.6287725,44.40293762,158.0382779
Sylhet,28.51643065,118.4599873,9.361954373,156.3383723
Nilphamari,43.56537702,104.3728055,6.013439558,153.9516221
Maulvibazar,14.51450036,103.2985485,23.10560002,140.9186489
Barishal,19.70015099,93.90065705,27.08121957,140.6820276
Panchagarh,70.5114885,48.67978327,7.573668311,126.7649401
Kushtia,45.46054149,80.72563588,0.125999995,126.3121774
Kishoreganj,7.372750924,100.066491,17.72861348,125.1678554
Faridpur,53.08850442,70.53621976,1.282448329,124.9071725
Nawabganj,0,29.10365331,95.21667655,124.3203299
Chandpur,12.08387269,82.74058412,19.84276059,114.6672174
Pabna,37.16846851,66.6964705,10.38577524,114.2507143
Sherpur,60.43045857,27.9936268,24.16090105,112.5849864
Brahamanbaria,4.934594311,95.69381937,9.704852482,110.3332662
Natore,7.034219921,88.03474955,12.14680581,107.2157753
Lalmonirhat,42.71872045,63.74936788,0.296999996,106.7650883
Patuakhali,0.067626344,27.89977709,77.37171941,105.3391228
Habiganj,41.95760994,54.41681526,4.154095896,100.5285211
Chuadanga,51.98895445,46.09048479,2.384285353,100.4637246
Lakshmipur,13.8316033,57.78490047,14.65675073,86.27325451
Noakhali,6.501517091,58.19085321,21.06079459,85.75316489
Rajbari,45.37570098,35.10410671,0.001161369,80.48096906
Sunamganj,12.0181506,32.44192823,33.12321468,77.58329351
Manikganj,36.43348805,24.55945553,16.41553977,77.40848335
Bhola,2.394763963,53.35480039,19.58252142,75.33208577
Joypurhat,0.788321319,39.36653624,35.00802496,75.16288252
Feni,21.39359442,45.60620773,6.940028764,73.93983092
Gazipur,6.302119615,48.38489354,18.71902654,73.4060397
Magura,13.41990097,58.31012926,0,71.73003022
Narsingdi,35.58143326,23.52547925,7.276208671,66.38312117
Shariatpur,17.57138784,27.83609228,18.5762812,63.98376132
Dhaka,17.61849049,31.3164604,13.28486817,62.21981905
Satkhira,0.292791773,24.42290185,35.72467187,60.44036549
Madaripur,19.7058097,28.89956141,11.68148224,60.28685335
Bagerhat,6.609501878,13.20108936,38.1848279,57.99541913
Meherpur,33.67379844,22.88905384,0,56.56285229
Jhalokati,0,16.48047761,38.23232938,54.71280698
Khulna,9.091859617,19.14064311,24.9795373,53.21204003
Gopalganj,7.717583418,25.61396002,18.37347868,51.70502212
Narail,4.384200162,35.17403117,6.073030693,45.63126202
Munshiganj,12.03032328,17.63939155,9.518163926,39.18787875
Pirojpur,1.159380437,10.00682911,23.01948357,34.18569311
Cox'S Bazar,13.18506533,8.918416953,7.312827187,29.41630947
Barguna,0,7.324263846,19.0105727,26.33483655
Narayanganj,9.220819488,9.12544411,6.470211251,24.81647485
Khagrachhari,10.89922541,0.154186037,0,11.05341144
Rangamati,5.514354125,0.359999989,2.045444317,7.919798431
Bandarban,3.692585606,1.175365709,0,4.867951315
